2016-03-26 19:23:13 startup packages configure
2016-03-26 19:23:13 configure gcc-4.8-base:armel 4.8.4-1 <none>
2016-03-26 19:23:13 status unpacked gcc-4.8-base:armel 4.8.4-1
2016-03-26 19:23:13 status half-configured gcc-4.8-base:armel 4.8.4-1
2016-03-26 19:23:13 status installed gcc-4.8-base:armel 4.8.4-1
2016-03-26 19:23:13 configure lsb-base:all 4.1+Debian13+nmu1 <none>
2016-03-26 19:23:13 status unpacked lsb-base:all 4.1+Debian13+nmu1
2016-03-26 19:23:13 status half-configured lsb-base:all 4.1+Debian13+nmu1
2016-03-26 19:23:13 status installed lsb-base:all 4.1+Debian13+nmu1
2016-03-26 19:23:13 configure sensible-utils:all 0.0.9 <none>
2016-03-26 19:23:13 status unpacked sensible-utils:all 0.0.9
2016-03-26 19:23:13 status half-configured sensible-utils:all 0.0.9
2016-03-26 19:23:13 status installed sensible-utils:all 0.0.9
2016-03-26 19:23:13 configure ncurses-base:all 5.9+20140913-1 <none>
2016-03-26 19:23:13 status unpacked ncurses-base:all 5.9+20140913-1
2016-03-26 19:23:13 status half-configured ncurses-base:all 5.9+20140913-1
2016-03-26 19:23:13 status installed ncurses-base:all 5.9+20140913-1
2016-03-26 19:23:13 configure libsemanage-common:all 2.3-1 <none>
2016-03-26 19:23:13 status unpacked libsemanage-common:all 2.3-1
2016-03-26 19:23:13 status half-configured libsemanage-common:all 2.3-1
2016-03-26 19:23:13 status installed libsemanage-common:all 2.3-1
2016-03-26 19:23:13 configure gcc-4.9-base:armel 4.9.2-10 <none>
2016-03-26 19:23:13 status unpacked gcc-4.9-base:armel 4.9.2-10
2016-03-26 19:23:13 status half-configured gcc-4.9-base:armel 4.9.2-10
2016-03-26 19:23:13 status installed gcc-4.9-base:armel 4.9.2-10
2016-03-26 19:23:13 configure libaudit-common:all 1:2.4-1 <none>
2016-03-26 19:23:13 status unpacked libaudit-common:all 1:2.4-1
2016-03-26 19:23:13 status half-configured libaudit-common:all 1:2.4-1
2016-03-26 19:23:13 status installed libaudit-common:all 1:2.4-1
2016-03-26 19:23:13 configure netbase:all 5.3 <none>
2016-03-26 19:23:13 status unpacked netbase:all 5.3
2016-03-26 19:23:13 status half-configured netbase:all 5.3
2016-03-26 19:23:13 status installed netbase:all 5.3
2016-03-26 19:23:14 configure multiarch-support:armel 2.19-18+deb8u2 <none>
2016-03-26 19:23:14 status unpacked multiarch-support:armel 2.19-18+deb8u2
2016-03-26 19:23:14 status half-configured multiarch-support:armel 2.19-18+deb8u2
2016-03-26 19:23:14 status installed multiarch-support:armel 2.19-18+deb8u2
2016-03-26 19:23:14 configure libc6:armel 2.19-18+deb8u2 <none>
2016-03-26 19:23:14 status unpacked libc6:armel 2.19-18+deb8u2
2016-03-26 19:23:14 status half-configured libc6:armel 2.19-18+deb8u2
2016-03-26 19:23:16 status installed libc6:armel 2.19-18+deb8u2
2016-03-26 19:23:16 configure libprocps3:armel 2:3.3.9-9 <none>
2016-03-26 19:23:16 status unpacked libprocps3:armel 2:3.3.9-9
2016-03-26 19:23:16 status half-configured libprocps3:armel 2:3.3.9-9
2016-03-26 19:23:16 status installed libprocps3:armel 2:3.3.9-9
2016-03-26 19:23:16 configure startpar:armel 0.59-3 <none>
2016-03-26 19:23:16 status unpacked startpar:armel 0.59-3
2016-03-26 19:23:16 status half-configured startpar:armel 0.59-3
2016-03-26 19:23:16 status installed startpar:armel 0.59-3
2016-03-26 19:23:16 configure libpcre3:armel 2:8.35-3.3+deb8u2 <none>
2016-03-26 19:23:16 status unpacked libpcre3:armel 2:8.35-3.3+deb8u2
2016-03-26 19:23:16 status half-configured libpcre3:armel 2:8.35-3.3+deb8u2
2016-03-26 19:23:17 status installed libpcre3:armel 2:8.35-3.3+deb8u2
2016-03-26 19:23:17 configure libbsd0:armel 0.7.0-2 <none>
2016-03-26 19:23:17 status unpacked libbsd0:armel 0.7.0-2
2016-03-26 19:23:17 status half-configured libbsd0:armel 0.7.0-2
2016-03-26 19:23:17 status installed libbsd0:armel 0.7.0-2
2016-03-26 19:23:17 configure libbz2-1.0:armel 1.0.6-7+b3 <none>
2016-03-26 19:23:17 status unpacked libbz2-1.0:armel 1.0.6-7+b3
2016-03-26 19:23:17 status half-configured libbz2-1.0:armel 1.0.6-7+b3
2016-03-26 19:23:17 status installed libbz2-1.0:armel 1.0.6-7+b3
2016-03-26 19:23:17 configure libkmod2:armel 18-3 <none>
2016-03-26 19:23:17 status unpacked libkmod2:armel 18-3
2016-03-26 19:23:17 status half-configured libkmod2:armel 18-3
2016-03-26 19:23:17 status installed libkmod2:armel 18-3
2016-03-26 19:23:17 configure libtasn1-6:armel 4.2-3+deb8u1 <none>
2016-03-26 19:23:17 status unpacked libtasn1-6:armel 4.2-3+deb8u1
2016-03-26 19:23:17 status half-configured libtasn1-6:armel 4.2-3+deb8u1
2016-03-26 19:23:17 status installed libtasn1-6:armel 4.2-3+deb8u1
2016-03-26 19:23:17 configure libgpg-error0:armel 1.17-3 <none>
2016-03-26 19:23:17 status unpacked libgpg-error0:armel 1.17-3
2016-03-26 19:23:17 status half-configured libgpg-error0:armel 1.17-3
2016-03-26 19:23:17 status installed libgpg-error0:armel 1.17-3
2016-03-26 19:23:17 configure libgmp10:armel 2:6.0.0+dfsg-6 <none>
2016-03-26 19:23:17 status unpacked libgmp10:armel 2:6.0.0+dfsg-6
2016-03-26 19:23:17 status half-configured libgmp10:armel 2:6.0.0+dfsg-6
